Country,Powerplant Name,gppd_idnr,Capacity (MW),Latitude,Longitude,Primary Fuel,Owner,Source
Argentina,CT BARILOCHE,ARG0000273,20.0,-41.1497,-71.2633,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT BELL VILLE,ARG0000113,15.62,-32.6103,-62.6864,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT BRAGADO,ARG0000023,49.8,-35.1364,-60.4311,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT CAPITAN SARMIENTO,ARG0000028,5.0,-34.1636,-59.7683,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT CATAMARCA,ARG0000054,19.2,-28.4706,-65.7647,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT CAVIAHUE,ARG0000257,5.0,-38.0528,-70.6136,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT CERES,ARG0000314,18.0,-29.8883,-61.9297,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT CHARATA,ARG0000065,19.4,-27.2369,-61.1939,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT CHILECITO,ARG0000189,10.0,-29.1581,-67.5072,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT CIPOLLETTI,ARG0000260,5.0,-38.9133,-67.9414,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT COLON BUENOS AIRES,ARG0000039,15.3,-33.9222,-61.0769,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT CONCEPCION DEL URUGUAY,ARG0000147,41.78,-32.4767,-58.2672,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT CORRIENTES,ARG0000114,20.0,-27.4708,-58.8042,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT ECOENERGIA (PETROBRAS),ARG0000032,13.2,-38.6871,-62.3961,Coal,PETROBRAS ARGENTINA S.A.,Ministerio de Energía y Minería
Argentina,CT ENSENADA DE BARRAGAN,ARG0000160,567.0,-34.8597,-57.9557,Gas,ENARSA,Ministerio de Energía y Minería
Argentina,CT ESQUINA,ARG0000139,16.5,-30.055,-59.5294,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT FORMOSA II,ARG0000149,30.0,-26.1764,-58.2094,Oil,APR ENERGY SRL,Ministerio de Energía y Minería
Argentina,CT GENERAL VILLEGAS,ARG0000004,23.49,-35.0347,-62.9981,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT GOYA,ARG0000138,13.0,-29.1583,-59.2728,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT INDEPENDENCIA,ARG0000336,120.0,-26.8666,-65.2247,Gas,GENERACION INDEPENDENCIA SA,Ministerio de Energía y Minería
Argentina,CT INGENIERO JUAREZ,ARG0000152,4.0,-23.9078,-61.8342,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT INTA CATAMARCA,ARG0000055,7.04,-28.4733,-65.7275,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT ISLA VERDE,ARG0000083,24.5,-33.2425,-62.395,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT JUAN JOSE CASTELLI,ARG0000059,15.0,-25.9564,-60.6204,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT JUNIN,ARG0000035,22.0,-34.5708,-60.9161,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT LA PLATA,ARG0000040,40.4,-34.9344,-58.016,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
